Stimuli,Question,Choice1,Choice1 Type,Choice2,Choice2 Type,Choice3,Choice3 Type,Choice4,Choice4 Type,Correct Answer,Correct Position
T3S1R1,Which data point(s) is(are) outlier(s)?,"1",Easy Distractor,"5,     7",Medium Distractor,"3",Correct Answer,"3,     7",Hard Distractor,"3",3
T3S1R2,Which data point(s) is(are) outlier(s)?,"4",Easy Distractor,"2,     8",Medium Distractor,"6",Correct Answer,"2,     6",Hard Distractor,"6",3
T3S1R3,Which data point(s) is(are) outlier(s)?,"7",Easy Distractor,"3,     5",Medium Distractor,"1",Correct Answer,"1,     5",Hard Distractor,"1",3
T3S2R1,Which data point(s) is(are) outlier(s)?,"1,     6",Easy Distractor,"4,     5",Correct Answer,"5",Hard Distractor,"3",Medium Distractor,"4,     5",2
T3S2R2,Which data point(s) is(are) outlier(s)?,"1,     4",Easy Distractor,"7,     8",Correct Answer,"8",Hard Distractor,"6",Medium Distractor,"7,     8",2
T3S2R3,Which data point(s) is(are) outlier(s)?,"4,     7",Easy Distractor,"2,     3",Correct Answer,"3",Hard Distractor,"1",Medium Distractor,"2,     3",2
T3S3R1,Which data point(s) is(are) outlier(s)?,"2",Correct Answer,"3,     7",Medium Distractor,"6",Easy Distractor,"2,     5",Hard Distractor,"2",1
T3S3R2,Which data point(s) is(are) outlier(s)?,"5",Correct Answer,"2,     6",Medium Distractor,"1",Easy Distractor,"5,     8",Hard Distractor,"5",1
T3S3R3,Which data point(s) is(are) outlier(s)?,"8",Correct Answer,"1,     5",Medium Distractor,"4",Easy Distractor,"3,     8",Hard Distractor,"8",1
T3S4R1,Which data point(s) is(are) outlier(s)?,"1",Medium Distractor,"5",Hard Distractor,"7,     8",Easy Distractor,"4,     5",Correct Answer,"4,     5",4
T3S4R2,Which data point(s) is(are) outlier(s)?,"4",Medium Distractor,"8",Hard Distractor,"2,     3",Easy Distractor,"7,     8",Correct Answer,"7,     8",4
T3S4R3,Which data point(s) is(are) outlier(s)?,"7",Medium Distractor,"3",Hard Distractor,"5,     6",Easy Distractor,"2,     3",Correct Answer,"2,     3",4
T3S5R1,Which data point(s) is(are) outlier(s)?,"6",Correct Answer,"1,     7",Hard Distractor,"6,     8",Medium Distractor,"2",Easy Distractor,"6",1
T3S5R2,Which data point(s) is(are) outlier(s)?,"1",Correct Answer,"2,     4",Hard Distractor,"1,     3",Medium Distractor,"5",Easy Distractor,"1",1
T3S5R3,Which data point(s) is(are) outlier(s)?,"4",Correct Answer,"5,     7",Hard Distractor,"4,     6",Medium Distractor,"8",Easy Distractor,"4",1
T3S6R1,Which data point(s) is(are) outlier(s)?,"3,     7",Easy Distractor,"1,     5",Correct Answer,"1",Hard Distractor,"2",Medium Distractor,"1,     5",2
T3S6R2,Which data point(s) is(are) outlier(s)?,"2,     6",Easy Distractor,"4,     8",Correct Answer,"4",Hard Distractor,"5",Medium Distractor,"4,     8",2
T3S6R3,Which data point(s) is(are) outlier(s)?,"1,     5",Easy Distractor,"3,     7",Correct Answer,"7",Hard Distractor,"8",Medium Distractor,"3,     7",2
