Stimuli,Question,Choice1,Choice1 Type,Choice2,Choice2 Type,Choice3,Choice3 Type,Choice4,Choice4 Type,Correct Answer,Correct Position
T4S1R1,Which data point(s) has(have) the most changes?,"1,     8",Medium Distractor,4,Correct Answer,"1,     4",Hard Distractor,5,Easy Distractor,4,2
T4S1R2,Which data point(s) has(have) the most changes?,"3,     4",Medium Distractor,7,Correct Answer,"4,     7",Hard Distractor,8,Easy Distractor,7,2
T4S1R3,Which data point(s) has(have) the most changes?,"6,     7",Medium Distractor,2,Correct Answer,"2,     7",Hard Distractor,3,Easy Distractor,2,2
T4S2R1,Which data point(s) has(have) the most changes?,5,Hard Distractor,4,Medium Distractor,"3,     8",Easy Distractor,"5,     7",Correct Answer,"5,     7",4
T4S2R2,Which data point(s) has(have) the most changes?,8,Hard Distractor,7,Medium Distractor,"3,     6",Easy Distractor,"2,     8",Correct Answer,"2,     8",4
T4S2R3,Which data point(s) has(have) the most changes?,3,Hard Distractor,2,Medium Distractor,"1,     6",Easy Distractor,"3,     5",Correct Answer,"3,     5",4
T4S3R1,Which data point(s) has(have) the most changes?,2,Easy Distractor,"4,     5",Hard Distractor,"6,     7",Medium Distractor,4,Correct Answer,4,4
T4S3R2,Which data point(s) has(have) the most changes?,5,Easy Distractor,"7,     8",Hard Distractor,"1,     2",Medium Distractor,7,Correct Answer,7,4
T4S3R3,Which data point(s) has(have) the most changes?,8,Easy Distractor,"2,     3",Hard Distractor,"4,     5",Medium Distractor,2,Correct Answer,2,4
T4S4R1,Which data point(s) has(have) the most changes?,"1,     6",Easy Distractor,5,Hard Distractor,"3,     5",Correct Answer,6,Medium Distractor,"3,     5",3
T4S4R2,Which data point(s) has(have) the most changes?,"1,     4",Easy Distractor,8,Hard Distractor,"6,     8",Correct Answer,1,Medium Distractor,"6,     8",3
T4S4R3,Which data point(s) has(have) the most changes?,"4,     7",Easy Distractor,3,Hard Distractor,"1,     3",Correct Answer,4,Medium Distractor,"1,     3",3
T4S5R1,Which data point(s) has(have) the most changes?,"1,     6",Medium Distractor,"2,     3",Hard Distractor,3,Correct Answer,5,Easy Distractor,3,3
T4S5R2,Which data point(s) has(have) the most changes?,"1,     4",Medium Distractor,"5,     6",Hard Distractor,6,Correct Answer,8,Easy Distractor,6,3
T4S5R3,Which data point(s) has(have) the most changes?,"4,     7",Medium Distractor,"1,     8",Hard Distractor,1,Correct Answer,3,Easy Distractor,1,3
T4S6R1,Which data point(s) has(have) the most changes?,"2,     8",Correct Answer,5,Medium Distractor,2,Hard Distractor,"1,     7",Easy Distractor,"2,     8",1
T4S6R2,Which data point(s) has(have) the most changes?,"3,     5",Correct Answer,8,Medium Distractor,5,Hard Distractor,"2,     4",Easy Distractor,"3,     5",1
T4S6R3,Which data point(s) has(have) the most changes?,"6,     8",Correct Answer,3,Medium Distractor,8,Hard Distractor,"5,     7",Easy Distractor,"6,     8",1
